rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank
81,81,59.1,81,51.8,100,74.2,44,57.1,42,53.4,87,69,110
83,83,59,83,59.2,61,63.4,67,39.1,85,47.5,133,70.3,104
83,83,59,84,55.8,81,22.5,174,-,191,54.2,84,72,97
85,85,58.9,85,39.8,174,65.7,61,33.9,107,44.1,151,91,38
86,86,58.3,86,62.4,50,99.5,2,38.4,90,56.2,71,51.6,176
87,87,58,87,56.5,78,79.1,38,39,87,56.2,72,59.2,149
88,88,57.9,88,37.7,188,92.9,13,30.5,121,36.2,184,93.2,25
89,89,57.8,89,46.3,137,56.8,87,33.2,108,60.8,58,67.6,115
90,90,57.7,92,54.6,86,24.4,167,-,196,42.9,158,79.2,72
90,90,57.7,91,56.6,77,87.9,23,43.8,65,47,135,65,125
90,90,57.7,90,50.8,103,69,54,37.7,96,47.8,130,72.9,93
93,93,57.6,93,44.7,150,-,194,-,159,58.7,63,68.5,113
94,94,57.5,94,42.4,163,87,26,-,171,36.6,182,86.3,47
95,95,57.3,97,50.2,110,91.3,15,45.8,60,37.1,181,78.3,75
95,95,57.3,95,60.6,56,39.6,127,-,155,43.1,157,70.2,105
95,95,57.3,96,52.4,94,21.9,177,84.2,22,52.2,93,70.1,107
98,98,57.2,98,45.4,145,35.4,137,-,184,48.6,122,79.2,71
99,99,57.1,99,44.7,149,31,150,-,150,49.2,113,79.7,69
100,100,57,100,51.1,101,37.6,133,26.1,140,34.4,193,88.8,42
101,101,56.9,101,50.4,107,85.3,31,-,169,43.2,156,71.2,101
102,102,56.6,102,49,120,24.2,169,30.2,124,51.4,100,75.4,87
103,103,56.5,103,44.8,148,85.7,30,32.6,111,47.7,131,72.9,94
104,104,56.4,104,50.5,104,48,107,-,166,54.6,81,64.9,126
105,105,56.3,105,53.4,90,26.8,162,-,167,64.7,44,55.7,163
106,106,56.2,106,57,75,62.6,74,-,165,67.8,41,43.9,191
107,107,56.1,108,36.6,190,83.3,34,-,176,42.1,165,82.8,61
107,107,56.1,107,52.2,97,34.1,139,50.2,51,52.6,91,66.9,118
109,109,56,109,46.3,138,19.9,183,44,63,49.2,114,77.6,82
109,109,56,110,62.3,51,44.9,118,43,68,54.1,85,54.6,166
111,111,55.6,111,32.9,197,71.8,50,26.7,137,32.5,199,97.6,12
112,112,55.4,113,62.9,49,24.8,164,60.5,38,63.4,48,45.5,186
112,112,55.4,112,34.3,193,47.7,108,32.4,113,36.1,185,95.7,17
114,114,55.3,114,55.4,84,44.9,117,99.8,9,51.7,97,56.9,162
115,115,55.2,115,50.3,108,29.2,158,35.7,101,59,62,61.6,138
115,115,55.2,116,38.3,184,34.2,138,-,179,47.6,132,81,65
117,117,55.1,117,38.6,181,63,69,30.5,122,47.4,134,78.3,76
118,118,55,118,46.6,134,95.7,7,32.7,110,49.7,109,63.1,134
119,119,54.8,119,57.7,69,29.6,154,97.7,14,62.9,50,45.2,187
120,120,54.6,120,52.2,96,50.2,102,43.4,67,46.2,139,66,121
120,120,54.6,121,39.7,175,91,16,38.9,88,44.1,152,73.5,90
122,122,54.5,122,50.4,106,30.4,153,-,160,52.7,90,63.7,131
122,122,54.5,123,46.2,140,64,65,95.5,16,46.9,136,64.6,127
124,124,54.4,125,43.5,154,73.8,45,28.8,131,41.9,166,74.9,88
124,124,54.4,126,47.3,131,40,126,100,5,54.9,78,59.3,148
124,124,54.4,124,52.8,93,24.7,166,97.1,15,59.1,61,52.8,169
127,127,54.3,127,53.7,88,71.6,51,44.5,61,58,66,49.7,179
128,128,54.2,128,45.6,144,55.1,92,61,37,50.3,107,65.1,124
129,129,54,129,36.9,189,-,195,31.7,116,49.2,115,75.9,86
130,130,53.4,130,61.7,54,20.1,181,73.4,29,63.4,47,40,196
130,130,53.4,131,32.9,199,-,200,27.4,135,48.3,126,79.1,73
132,132,53.3,133,52.4,95,46.2,112,79.8,27,41.4,168,64.3,129
132,132,53.3,132,60.3,57,20.1,182,82.3,25,62.5,52,41.2,194
132,132,53.3,134,48.6,123,31.7,145,-,182,59.8,59,54.8,165
135,135,52.7,135,39.9,173,66.6,58,41.5,73,42.1,164,73.1,91
136,136,52.6,136,43.1,157,84.1,33,42.5,70,50.5,105,59.1,150
137,137,52.5,137,48.9,121,62.7,73,40.3,80,49.2,117,58.4,154
138,138,52.4,138,56.1,80,-,197,-,186,49.4,112,51.9,175
139,139,52.3,139,47.6,130,30.6,152,81.4,26,51.6,99,58.5,153
140,140,52.2,141,34.1,195,54.4,94,49.3,56,41,170,79.3,70
140,140,52.2,140,51.9,99,30.7,151,26.4,138,37.2,180,71.5,100
142,142,52.1,142,34.1,194,22.3,175,30,125,33.7,195,91.9,32
143,143,52,143,43.4,155,52.6,97,55.3,46,53,89,58.8,152
144,144,51.9,144,58.5,66,24.3,168,-,195,48.8,119,53,168
145,145,51.8,145,34.8,192,94.3,8,61.1,36,39.2,176,71.8,99
145,145,51.8,146,50.3,109,73.8,46,34.8,103,50.7,102,52.1,173
147,147,51.6,147,29.5,200,19.3,184,36,100,28,200,99.8,4
147,147,51.6,148,49.6,115,77.9,40,39.5,84,62.2,54,40.7,195
149,149,51.4,150,37.8,187,86.1,27,47,59,45.2,145,64.6,128
149,149,51.4,149,39.4,178,82.9,35,57.2,41,45.7,141,62.4,136
151,151,51.3,151,55.5,82,47.4,109,99.4,10,67.7,42,29,200
152,152,51.2,152,41.2,168,88.5,21,27.4,133,35.8,188,70.6,102
152,152,51.2,153,42.7,160,80.5,37,31.1,119,42.8,159,63.6,132
152,152,51.2,154,49.5,116,70.7,52,60,39,48.9,118,51.2,178
